core_model,site_model,MS_GC,site_charge,temperature,input_mole_fractions,x,phi,rho,Vo_mole_fraction,Gd_mole_fraction
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-5.938768655e-09,0.0007533899793513068,876616478.2425579,0.046936092990731294,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-5.860657532e-09,-0.016676424979572196,-2801518070.129926,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-5.78254641e-09,0.00032510667514991284,888747133.5528038,0.04758559680206122,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-5.626324447e-09,0.0001610345352249276,893108807.0396973,0.04781913098528818,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-5.548213325e-09,-0.0170867390609934,-2801518088.0628304,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-5.470102203e-09,9.683373538761888e-05,894846582.2488233,0.047912175732243684,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-5.313880239e-09,6.705316024244553e-05,895427936.213833,0.04794330278115545,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-5.235769117000001e-09,-0.017157216675698937,-2801518088.0628304,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-5.157657995000001e-09,4.985988098958694e-05,895639440.4718498,0.047954627008408766,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-5.001436032e-09,3.733607926018928e-05,895713657.8091377,0.047958600777948585,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-4.9233249100000005e-09,-0.017183654645185526,-2801518088.0628304,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-4.845213788000001e-09,2.6701022987376275e-05,895732329.9809211,0.04795960073429064,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-4.688991824e-09,1.7250485951157467e-05,895716171.1281627,0.04795873555157849,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-4.610880702e-09,-0.01720225575524641,-2801518088.0628304,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-4.532769580000001e-09,9.584396181042027e-06,895794583.0992526,0.04796293370694617,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-4.376547617e-09,7.598020651569198e-07,895760014.2928932,0.0479610828123337,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-4.298436495e-09,-0.017219256566096658,-2801518070.129926,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-4.220325372e-09,-7.926323552738485e-06,895721370.7909801,0.0479590139536684,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-4.0641034090000004e-09,-1.5023949865477734e-05,895783064.3759937,0.04796231696760606,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-3.985992287e-09,-0.0172346076212003,-2801518088.0628304,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-3.907881165e-09,-2.2844899922778736e-05,895718980.0811963,0.0479588857448224,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-3.751659202e-09,-2.8987463792807757e-05,895752577.6990422,0.04796068484440287,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-3.673548079e-09,-0.01724752381668796,-2801518070.129926,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-3.5954369570000002e-09,-3.471355879426641e-05,895773935.73146,0.04796182819866169,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-3.4392149940000004e-09,-4.082881713467828e-05,895806736.0457754,0.04796358440408062,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-3.3611038720000015e-09,-0.017260369460821448,-2801518088.062808,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-3.28299275e-09,-4.856371101203315e-05,895740119.3181874,0.047960017588932126,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-3.126770787e-09,-5.541646433491421e-05,895794604.5848402,0.04796293506201303,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-3.048659664e-09,-0.017275090627279832,-2801518070.1299186,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-2.970548542000001e-09,-6.341818027932434e-05,895735839.4229734,0.0479597884333485,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-2.814326579e-09,-7.03513929591287e-05,895792694.6186379,0.0479628325932842,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-2.7362154570000003e-09,-0.01729001805460836,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-2.658104335e-09,-7.833832535641436e-05,895733487.1652496,0.047959662692641854,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-2.5018823710000002e-09,-8.518072897719116e-05,895787671.4823252,0.047962563847513726,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-2.423771249e-09,-0.01730475380227061,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-2.3456601270000003e-09,-9.298048468932525e-05,895722967.4048443,0.04795909923544103,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-2.189438164e-09,-9.941998247494224e-05,895618264.5162402,0.04795349319829846,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-2.1113270420000007e-09,-0.017315687131009137,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-2.0332159199999997e-09,-0.00010060788867749336,895212201.5417166,0.04793175184300915,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-1.876993956e-09,-8.104971622270166e-05,894196998.1407146,0.04787739548213386,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-1.7988828340000003e-09,-0.017257140821689408,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-1.7207717120000005e-09,-1.885534538007794e-06,891729112.306864,0.04774525890763197,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-1.5645497490000001e-09,0.00023048995547269059,884367607.0067135,0.047351106724357,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-1.4864386270000006e-09,-0.016654484118565568,-2801518070.1299186,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-1.4083275039999996e-09,0.0008918884215170731,867770740.2278148,0.04646247112762547,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-1.2521055449999998e-09,0.0026007530789821697,832136142.5437652,0.044554511203107626,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-1.173994424e-09,-0.012570662669803407,-2801519038.506917,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-1.0958833540000004e-09,0.006689255078349787,748094171.3623197,0.040054717184052346,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-9.396612898e-10,0.016327788333996906,601841360.0985272,0.032223979718695395,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-8.615503564999999e-10,0.009486940957835812,-2801475166.3210816,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-7.834366522999999e-10,0.03707833010573508,344939878.9495697,0.018468438124218032,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-6.272229614e-10,0.07860154005655376,139003096.89294437,0.007442527922998848,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-5.491042746000001e-10,0.09633153618472624,-2804136126.712259,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-4.711465718999996e-10,0.14838904448410614,43547604.047801785,0.002334596657549414,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-3.1447408229999997e-10,0.25036389197057923,1112517702.256516,0.059474607930288415,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-2.371761489e-10,0.2797435654698176,-2843177561.091296,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-1.6054087450000004e-10,0.3426572617386429,5637111227.384512,0.3032516392495576,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],-1.7347358e-12,0.2559933279367993,6505.528225852451,3.530540942617355e-07,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],7.697628420000002e-11,0.2124958878153181,-2758167157.560128,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],1.569428995e-10,0.2035481221346359,933837753.5358052,0.05015292539926339,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],3.1202676569999996e-10,0.1505985713890051,1279434718.733966,0.06828872763219768,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],3.905398624e-10,0.09938135328171267,-2794580520.824509,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],4.686368326000001e-10,0.0828598196297822,143333114.69303182,0.007674484295073875,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],6.248758373000003e-10,0.04349575395345098,424373120.7334733,0.022723037893417918,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],7.029813659000001e-10,0.015478289110866747,-2801612099.0728393,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],7.810928391000003e-10,0.02189020495791083,586615708.4409612,0.031408789525702835,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],9.373145607000001e-10,0.011929736230071371,770055557.1582572,0.04123054747253653,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],1.015425781e-09,-0.007899692303442618,-2801516486.655644,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],1.093536894e-09,0.0067022486260566606,820385120.6448808,0.04392533144053146,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],1.249758847e-09,0.004301749203375329,865637089.2596308,0.046348228496185084,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],1.327869966e-09,-0.013549064412770106,-2801518141.861525,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],1.4059810880000004e-09,0.003031467684035949,873938613.6293906,0.04679271406668305,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],1.562203051e-09,0.002581124863163994,887550544.8046107,0.04752152864638482,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],1.6403141730000005e-09,-0.014704960326414359,-2801518070.129923,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],1.718425296e-09,0.002440301092991413,893130313.0542946,0.047820282671596964,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],1.874647259e-09,0.002398862962172175,894786967.0746992,0.04790898359215474,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],1.9527583809999997e-09,-0.014819167984185831,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],2.030869503e-09,0.0023941474603302584,895513365.3622508,0.047947876857262935,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],2.187091467000001e-09,0.002398750017286773,895672073.648089,0.047956374469515235,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],2.265202589e-09,-0.014812938159791763,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],2.3433137109999998e-09,0.0024067200540093914,895731774.1259551,0.04795957076785345,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],2.499535674e-09,0.0024158634712818853,895756965.4315015,0.04796091956917545,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],2.577646796e-09,-0.014795109032062137,-2801518088.0628147,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],2.6557579180000003e-09,0.002425264857212611,895774566.6941818,0.047961862186553135,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],2.8119798820000002e-09,0.0024342708456256412,895803801.0441821,0.047963427461922496,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],2.890091004e-09,-0.014777646370723284,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],2.968202126e-09,0.002441782803804937,895729928.7389668,0.04795947196152512,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],3.1244240890000003e-09,0.0024505655333845393,895765727.6671243,0.04796138871973097,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],3.202535211e-09,-0.014760754512732862,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],3.280646333000001e-09,0.0024592718320220683,895803772.0333465,0.04796342590861472,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],3.4368682969999998e-09,0.002466472579283892,895739048.2370688,0.047959960445413716,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],3.5149794190000004e-09,-0.014745139463464696,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],3.5930905409999997e-09,0.002474594884652725,895794274.6266358,0.04796291719060188,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],3.749312504e-09,0.0024815714660435468,895736143.9123346,0.047959804736419885,0.0
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],3.827423626e-09,-0.014730096703420174,-2801518088.0628147,0.0,0.2
False,site_explicit,mott-schottky,False,673,[0.05 0.2 ],3.9055347480000015e-09,0.0024895815197406314,895794663.8744726,0.047962938236518406,0.0
